object_id,line1,line2,source
FY1C_586,1 30557U 99025AKX 26124.64842690  .00002135  00000+0  11753-2 0  9998,2 30557  98.9057 193.7520 0068851 187.5914 172.4221 14.11472468983164,Fengyun-1C
FY1C_587,1 30558U 99025AKY 26123.30701689  .00002059  00000+0  28087-2 0  9996,2 30558  99.4712 257.8494 0420018 290.9448  64.7215 13.29109257926387,Fengyun-1C
FY1C_588,1 30560U 99025ALA 26124.54334514  .00000414  00000+0  21186-3 0  9992,2 30560  98.6731 119.7610 0115547 161.5103 325.8017 14.17223712993912,Fengyun-1C
FY1C_589,1 30561U 99025ALB 26124.66811771  .00000510  00000+0  29954-3 0  9999,2 30561  98.7276 127.8497 0060928  69.1032 355.1783 14.11452698989942,Fengyun-1C
FY1C_590,1 30562U 99025ALC 26124.74403669  .00002961  00000+0  12844-2 0  9993,2 30562  98.7486 196.8338 0059273 210.2282 269.0974 14.24028485990341,Fengyun-1C
FY1C_591,1 30564U 99025ALE 26124.75579852  .00001481  00000+0  76812-3 0  9996,2 30564  98.7904 137.5147 0202921  77.1998 342.2738 14.06167642983053,Fengyun-1C
FY1C_592,1 30565U 99025ALF 26123.62382801  .00003145  00000+0  16204-2 0  9995,2 30565  98.4497 350.4890 0139053 311.4219  70.9382 14.10974280979272,Fengyun-1C
FY1C_593,1 30566U 99025ALG 26124.63721029  .00002198  00000+0  11903-2 0  9995,2 30566  99.2003 182.0143 0069404 141.5411  10.3986 14.12357611983990,Fengyun-1C
FY1C_594,1 30567U 99025ALH 26124.74724580  .00000322  00000+0  19894-3 0  9998,2 30567  98.7873 116.8209 0109480 145.4279  28.6224 14.09063403987879,Fengyun-1C
FY1C_595,1 30568U 99025ALJ 26124.28683625  .00010444  00000+0  22225-2 0  9999,2 30568  98.9479 309.9900 0017838 114.6933  64.0119 14.59109316997357,Fengyun-1C
FY1C_596,1 30569U 99025ALK 26124.42837135  .00020043  00000+0  25221-2 0  9998,2 30569  98.7419 280.3969 0003241 357.0312   3.0879 14.82080444  3051,Fengyun-1C
FY1C_597,1 30570U 99025ALL 26124.35658471  .00000628  00000+0  34762-3 0  9994,2 30570  98.6952 158.2956 0036124 163.8733 214.5989 14.14520189990145,Fengyun-1C
FY1C_598,1 30571U 99025ALM 26124.68644858  .00000346  00000+0  21674-3 0  9990,2 30571  98.7144 151.7541 0021422 186.6794 299.6125 14.10837740989024,Fengyun-1C
FY1C_599,1 30572U 99025ALN 26124.66974602  .00000368  00000+0  23674-3 0  9998,2 30572  98.7530 155.3667 0020872 248.2792 225.5832 14.09052786987741,Fengyun-1C
FY1C_600,1 30573U 99025ALP 26124.05928573  .00002644  00000+0  13456-2 0  9993,2 30573  99.2120 171.3610 0087474 232.7038 191.5432 14.14784108982098,Fengyun-1C
FY1C_601,1 30574U 99025ALQ 26124.39739572  .00001819  00000+0  15525-2 0  9992,2 30574  99.3146 290.3002 0214897 331.6500  27.3092 13.78435350957337,Fengyun-1C
FY1C_602,1 30575U 99025ALR 26124.81211167  .00002725  00000+0  84889-3 0  9992,2 30575  99.1673 230.8653 0054335 175.7666 343.2997 14.40969012  2681,Fengyun-1C
FY1C_603,1 30577U 99025ALT 26124.57733829  .00000646  00000+0  37928-3 0  9993,2 30577  98.7503 160.0758 0028295 235.1065 277.3290 14.11399707987995,Fengyun-1C
FY1C_604,1 30579U 99025ALV 26124.57079889  .00000242  00000+0  17285-3 0  9990,2 30579  98.7912 150.0591 0053953  63.8985  87.2130 14.05409443984632,Fengyun-1C
FY1C_605,1 30594U 99025ALZ 26124.39922410  .00000201  00000+0  10329-3 0  9991,2 30594  99.1353 349.7964 0192576 272.0244  85.8887 14.17463520996007,Fengyun-1C
FY1C_606,1 30596U 99025AMB 26124.47901046  .00000436  00000+0  12293-3 0  9996,2 30596  98.4198 123.6979 0246495 223.5588 290.7977 14.34724755  6069,Fengyun-1C
FY1C_607,1 30597U 99025AMC 26124.33806803  .00127387  00000+0  60701-2 0  9998,2 30597  98.9480  87.9729 0033170  70.6492 289.8319 15.18061861  6595,Fengyun-1C
FY1C_608,1 30599U 99025AME 26123.30501267  .00001434  00000+0  44247-3 0  9994,2 30599  98.5976 136.2342 0299198 294.7627  62.2691 14.20359065991761,Fengyun-1C
FY1C_609,1 30600U 99025AMF 26124.76387638  .00004728  00000+0  16776-2 0  9996,2 30600  98.3936  64.9385 0318518 197.7721 161.2104 14.10196076964463,Fengyun-1C
FY1C_610,1 30602U 99025AMH 26123.82359292  .04015724  00000+0  23148-1 0  9991,2 30602  98.9942  68.6390 0023216 157.1104 227.0531 15.74365955999545,Fengyun-1C
FY1C_611,1 30603U 99025AMJ 26124.51141486  .00001311  00000+0  10531-2 0  9999,2 30603  98.3994 137.5803 0183170 173.5685 339.5373 13.84610113968518,Fengyun-1C
FY1C_612,1 30604U 99025AMK 26124.05017572  .00000504  00000+0  19236-3 0  9992,2 30604  98.3816 157.5444 0207805 310.1446  77.0034 14.23881260998643,Fengyun-1C
